"job_title","job_id","salary_year_avg","name","skill_ids","skill"
"Associate Director- Data Insights",552322,"255829.5","AT&T","0,1,5,74,75,76,93,95,102,181,182,183,196","sql,python,r,azure,databricks,aws,pandas,pyspark,jupyter,excel,tableau,power bi,powerpoint"
"Data Analyst, Marketing",99305,"232423.0","Pinterest Job Advertisements","0,1,5,97,182","sql,python,r,hadoop,tableau"
"Data Analyst (Hybrid/Remote)",1021647,"217000.0","Uclahealthcareers","0,23,79,182,215","sql,crystal,oracle,tableau,flow"
"Principal Data Analyst (Remote)",168310,"205000.0","SmartAsset","0,1,8,80,93,94,181,182,220","sql,python,go,snowflake,pandas,numpy,excel,tableau,gitlab"
"Director, Data Analyst - HYBRID",731368,"189309.0","Inclusively","0,1,74,76,79,80,182,183,189,211,218,219,233,234","sql,python,azure,aws,oracle,snowflake,tableau,power bi,sap,jenkins,bitbucket,atlassian,jira,confluence"
"Principal Data Analyst, AV Performance Analysis",310660,"189000.0","Motional","0,1,5,210,218,219,233,234","sql,python,r,git,bitbucket,atlassian,jira,confluence"
"Principal Data Analyst",1749593,"186000.0","SmartAsset","0,1,8,80,93,94,181,182,220","sql,python,go,snowflake,pandas,numpy,excel,tableau,gitlab"
"ERM Data Analyst",387860,"184000.0","Get It Recruit - Information Technology","0,1,5","sql,python,r"
"Azure Data Python Consultant - contract to HIRE - Citizen or Perm...",987523,"170000.0","Kelly Science, Engineering, Technology & Telecom","0,1,74,75,183","sql,python,azure,databricks,power bi"
"DTCC Data Analyst",1781684,"170000.0","Robert Half","4,8,181","java,go,excel"
